(VT("/vin") - 0.6) X,(VT("/vin") - 0.6) Y,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y,/vin X,/vin Y
4.531182106796424e-10,-0.1997462538020194,4.531182106796424e-10,0.1298280718294877,4.531182106796424e-10,0.4002537461979806
4.671799768820096e-10,-0.199738379212946,4.671799768820096e-10,0.1246424485021065,4.671799768820096e-10,0.400261620787054
4.840466833132884e-10,-0.1997289338573445,4.840466833132884e-10,0.114567417252066,4.840466833132884e-10,0.4002710661426555
4.972903814502545e-10,-0.1997215173863878,4.972903814502545e-10,0.1037642371256443,4.972903814502545e-10,0.4002784826136122
5.129140424443086e-10,-0.1997127681362311,5.129140424443086e-10,0.0876701865734556,5.129140424443086e-10,0.4002872318637689
5.139140424443086e-10,-0.1997122081362311,5.139140424443086e-10,0.08655255289684512,5.139140424443086e-10,0.4002877918637688
5.159140424443086e-10,-0.1997110881362311,5.159140424443086e-10,0.08437290761776471,5.159140424443086e-10,0.4002889118637689
5.199140424443086e-10,-0.1997088481362311,5.199140424443086e-10,0.08041047638078577,5.199140424443086e-10,0.4002911518637688
5.235636986785112e-10,-0.19970680432874,5.235636986785112e-10,0.07746483381739198,5.235636986785112e-10,0.40029319567126
5.296196797150652e-10,-0.1997034129793595,5.296196797150652e-10,0.07384124428336422,5.296196797150652e-10,0.4002965870206405
5.369928098981575e-10,-0.199699284026457,5.369928098981575e-10,0.07086337624037993,5.369928098981575e-10,0.400300715973543
5.441656935089386e-10,-0.1996952672116349,5.441656935089386e-10,0.06905937292196962,5.441656935089386e-10,0.400304732788365
5.527947735853192e-10,-0.1996904349267922,5.527947735853192e-10,0.067811427269459,5.527947735853192e-10,0.4003095650732078
5.609918126678056e-10,-0.199685844584906,5.609918126678056e-10,0.06736570797101207,5.609918126678056e-10,0.400314155415094
5.694371316481605e-10,-0.199681115206277,5.694371316481605e-10,0.06722463899286926,5.694371316481605e-10,0.400318884793723
5.794681398772357e-10,-0.1996754978416687,5.794681398772357e-10,0.06709470028230705,5.794681398772357e-10,0.4003245021583313
5.911960342870739e-10,-0.1996689302207992,5.911960342870739e-10,0.06698613204707365,5.911960342870739e-10,0.4003310697792008
6.011385239474715e-10,-0.1996633624265894,6.011385239474715e-10,0.06683452853523947,6.011385239474715e-10,0.4003366375734106
6.133856441420951e-10,-0.1996565040392804,6.133856441420951e-10,0.06628529898774961,6.133856441420951e-10,0.4003434959607196
6.271636453401201e-10,-0.1996487883586095,6.271636453401201e-10,0.06464587221522002,6.271636453401201e-10,0.4003512116413905
6.433381968892302e-10,-0.199639730609742,6.433381968892302e-10,0.06079254431619301,6.433381968892302e-10,0.400360269390258
6.620624103557132e-10,-0.1996292450502007,6.620624103557132e-10,0.05344167759210678,6.620624103557132e-10,0.4003707549497992
6.890919976554764e-10,-0.1996141084813129,6.890919976554764e-10,0.0364213465899217,6.890919976554764e-10,0.4003858915186871
7.007219748764343e-10,-0.1996075956940692,7.007219748764343e-10,0.02647487135607773,7.007219748764343e-10,0.4003924043059308
7.017219748764343e-10,-0.1996070356940692,7.017219748764343e-10,0.02553506323570554,7.017219748764343e-10,0.4003929643059308
7.037219748764342e-10,-0.1996059156940692,7.037219748764342e-10,0.02359549299783238,7.037219748764342e-10,0.4003940843059308
7.077219748764342e-10,-0.1996036756940692,7.077219748764342e-10,0.01966149404478624,7.077219748764342e-10,0.4003963243059308
7.125527339288452e-10,-0.1996009704689998,7.125527339288452e-10,0.01501635616192837,7.125527339288452e-10,0.4003990295310002
7.198547052027146e-10,-0.1995968813650864,7.198547052027146e-10,0.009456642943860746,7.198547052027146e-10,0.4004031186349136
7.256773098355927e-10,-0.199593620706492,7.256773098355927e-10,0.006325737359924229,7.256773098355927e-10,0.400406379293508
7.339643695812956e-10,-0.1995889799530344,7.339643695812956e-10,0.003298571426743003,7.339643695812956e-10,0.4004110200469655
7.415495273118163e-10,-0.1995847322647054,7.415495273118163e-10,0.001688423512128955,7.415495273118163e-10,0.4004152677352946
7.50470124220934e-10,-0.1995797367304362,7.50470124220934e-10,0.0007516138040159701,7.50470124220934e-10,0.4004202632695638
7.582563846283113e-10,-0.1995753764246081,7.582563846283113e-10,0.0005221009549623662,7.582563846283113e-10,0.4004246235753919
7.678989926300002e-10,-0.1995699765641272,7.678989926300002e-10,0.0003453752487966005,7.678989926300002e-10,0.4004300234358728
7.78418702145384e-10,-0.1995640855267986,7.78418702145384e-10,0.0002214139971908688,7.78418702145384e-10,0.4004359144732014
7.8783743015339e-10,-0.199558811039114,7.8783743015339e-10,0.0001410616903408633,7.8783743015339e-10,0.4004411889608859
7.989237705159167e-10,-0.199552602688511,7.989237705159167e-10,8.402745126381104e-05,7.989237705159167e-10,0.4004473973114889
8.115286454964947e-10,-0.1995455439585219,8.115286454964947e-10,4.676545661173411e-05,8.115286454964947e-10,0.4004544560414781
8.269501829672453e-10,-0.1995369078975383,8.269501829672453e-10,2.356388091894596e-05,8.269501829672453e-10,0.4004630921024617
8.455051406797471e-10,-0.1995265171212193,8.455051406797471e-10,1.096171782893446e-05,8.455051406797471e-10,0.4004734828787807
8.691496458405514e-10,-0.1995132761983293,8.691496458405514e-10,4.637650459987242e-06,8.691496458405514e-10,0.4004867238016707
9.005059385612403e-10,-0.1994957166744057,9.005059385612403e-10,1.73327078396558e-06,9.005059385612403e-10,0.4005042833255943
9.458687911860353e-10,-0.1994703134769358,9.458687911860353e-10,4.814572139102665e-07,9.458687911860353e-10,0.4005296865230642
1.018936470099841e-09,-0.1994293955767441,1.018936470099841e-09,1.292729357833573e-07,1.018936470099841e-09,0.4005706044232559
1.116503906905927e-09,-0.1993747578121327,1.116503906905927e-09,3.206791200917248e-07,1.116503906905927e-09,0.4006252421878673
1.207911984959377e-09,-0.1993235692884227,1.207911984959377e-09,2.681527710206026e-07,1.207911984959377e-09,0.4006764307115773
1.313739940675642e-09,-0.1992643056332216,1.313739940675642e-09,-2.789226978064835e-09,1.313739940675642e-09,0.4007356943667784
1.339931580563166e-09,-0.1992496383148846,1.339931580563166e-09,2.201490040080137e-08,1.339931580563166e-09,0.4007503616851154
1.392314860338213e-09,-0.1992203036782105,1.392314860338213e-09,1.085198951060028e-08,1.392314860338213e-09,0.4007796963217894
1.497081419888309e-09,-0.1991616344048625,1.497081419888309e-09,-1.191053990350056e-08,1.497081419888309e-09,0.4008383655951375
1.665038979962997e-09,-0.1990675781712207,1.665038979962997e-09,-3.506009340398682e-09,1.665038979962997e-09,0.4009324218287793
1.935574106846694e-09,-0.1989160785001658,1.935574106846694e-09,-1.44487859886561e-08,1.935574106846694e-09,0.4010839214998342
2.363190792181396e-09,-0.1986766131563784,2.363190792181396e-09,-3.203579207245444e-09,2.363190792181396e-09,0.4013233868436216
3.218424162850801e-09,-0.1981976824688035,3.218424162850801e-09,-1.455568767447143e-08,3.218424162850801e-09,0.4018023175311965
4.92889090418961e-09,-0.1972398210936538,4.92889090418961e-09,-3.162379894825978e-09,4.92889090418961e-09,0.4027601789063462
7.464445452094804e-09,-0.1958199105468268,7.464445452094804e-09,-1.457814888561512e-08,7.464445452094804e-09,0.4041800894531731
9.999999999999999e-09,-0.1944,9.999999999999999e-09,-3.14770774545794e-09,9.999999999999999e-09,0.4056
1.0005e-08,-0.1943971999999999,1.0005e-08,-2.712600754642782e-05,1.0005e-08,0.4056028
1.00075e-08,-0.1943958,1.00075e-08,-8.547360952770519e-06,1.00075e-08,0.4056042
1.001e-08,-0.1943944,1.001e-08,7.97007112780391e-05,1.001e-08,0.4056056
1.001046336106722e-08,-0.1943941405178023,1.001046336106722e-08,0.0001125739055537744,1.001046336106722e-08,0.4056058594821977
1.001121015880531e-08,-0.194393722311069,1.001121015880531e-08,0.0001638264125365515,1.001121015880531e-08,0.405606277688931
1.001186657687206e-08,-0.1943933547169516,1.001186657687206e-08,0.0001974854373185329,1.001186657687206e-08,0.4056066452830484
1.001317941300556e-08,-0.1943926195287168,1.001317941300556e-08,0.0002387487497426804,1.001317941300556e-08,0.4056073804712831
1.001580508527256e-08,-0.1943911491522473,1.001580508527256e-08,0.0002601816302638519,1.001580508527256e-08,0.4056088508477527
1.002105642980656e-08,-0.1943882083993083,1.002105642980656e-08,0.0002139388149168819,1.002105642980656e-08,0.4056117916006917
1.00282949869755e-08,-0.1943841548072937,1.00282949869755e-08,0.0001394484637051056,1.00282949869755e-08,0.4056158451927063
1.003791646401275e-08,-0.1943787667801528,1.003791646401275e-08,7.742047647275196e-05,1.003791646401275e-08,0.4056212332198472
1.005066424231094e-08,-0.1943716280243059,1.005066424231094e-08,5.433516392287118e-05,1.005066424231094e-08,0.4056283719756941
1.006304755059601e-08,-0.1943646933716662,1.006304755059601e-08,-5.167037109904858e-07,1.006304755059601e-08,0.4056353066283338
1.007764862757912e-08,-0.1943565167685556,1.007764862757912e-08,-0.000197046821135125,1.007764862757912e-08,0.4056434832314443
1.009366750988459e-08,-0.1943475461944646,1.009366750988459e-08,-0.0005486430965153317,1.009366750988459e-08,0.4056524538055354
1.011044278836207e-08,-0.1943381520385172,1.011044278836207e-08,-0.001098232825332623,1.011044278836207e-08,0.4056618479614828
1.012695682400411e-08,-0.1943289041785576,1.012695682400411e-08,-0.002402237362304235,1.012695682400411e-08,0.4056710958214423
